country,metric,grade,year,quarter,value
Netherlands,Demand,HSFO,2025,Q1,90
Netherlands,Demand,HSFO,2025,Q2,87
Netherlands,Demand,HSFO,2025,Q3,94
Netherlands,Demand,HSFO,2025,Q4,90
Netherlands,Demand,HSFO,2026,Q1,84
Netherlands,Demand,HSFO,2026,Q2,86
Netherlands,Demand,HSFO,2026,Q3,84
Netherlands,Demand,HSFO,2026,Q4,80
Netherlands,Demand,LSFO,2025,Q1,104
Netherlands,Demand,LSFO,2025,Q2,116
Netherlands,Demand,LSFO,2025,Q3,126
Netherlands,Demand,LSFO,2025,Q4,120
Netherlands,Demand,LSFO,2026,Q1,113
Netherlands,Demand,LSFO,2026,Q2,115
Netherlands,Demand,LSFO,2026,Q3,112
Netherlands,Demand,LSFO,2026,Q4,107
Netherlands,Supply,HSFO,2025,Q1,90
Netherlands,Supply,HSFO,2025,Q2,87
Netherlands,Supply,HSFO,2025,Q3,94
Netherlands,Supply,HSFO,2025,Q4,90
Netherlands,Supply,HSFO,2026,Q1,84
Netherlands,Supply,HSFO,2026,Q2,86
Netherlands,Supply,HSFO,2026,Q3,84
Netherlands,Supply,HSFO,2026,Q4,80
Netherlands,Supply,LSFO,2025,Q1,104
Netherlands,Supply,LSFO,2025,Q2,116
Netherlands,Supply,LSFO,2025,Q3,126
Netherlands,Supply,LSFO,2025,Q4,120
Netherlands,Supply,LSFO,2026,Q1,113
Netherlands,Supply,LSFO,2026,Q2,115
Netherlands,Supply,LSFO,2026,Q3,112
Netherlands,Supply,LSFO,2026,Q4,107
Netherlands,Balance,HSFO,2025,Q1,0
Netherlands,Balance,HSFO,2025,Q2,0
Netherlands,Balance,HSFO,2025,Q3,0
Netherlands,Balance,HSFO,2025,Q4,0
Netherlands,Balance,HSFO,2026,Q1,0
Netherlands,Balance,HSFO,2026,Q2,0
Netherlands,Balance,HSFO,2026,Q3,0
Netherlands,Balance,HSFO,2026,Q4,0
Netherlands,Balance,LSFO,2025,Q1,0
Netherlands,Balance,LSFO,2025,Q2,0
Netherlands,Balance,LSFO,2025,Q3,0
Netherlands,Balance,LSFO,2025,Q4,0
Netherlands,Balance,LSFO,2026,Q1,0
Netherlands,Balance,LSFO,2026,Q2,0
Netherlands,Balance,LSFO,2026,Q3,0
Netherlands,Balance,LSFO,2026,Q4,0
Belgium,Demand,HSFO,2025,Q1,24
Belgium,Demand,HSFO,2025,Q2,24
