month,Batum,Constantza STS (Russia),Kavkaz,Klaipeda,Kulevi,Nakhodka,Novorossiysk,Others,St Petersburg,Tallinn,Taman,Temryuk,Tuapse,Ust-Luga,Vladivostok,Vysotsk
2024-01-01,94.428,29.938,687.626,100.713,41.6,83.948,334.717,5.214,315.0,96.24,261.292,5.996,329.772,1187.165,0.0,340.0
2024-02-01,75.3,71.952,210.715,100.0,0.0,83.888,360.564,5.454,296.0,35.941,166.906,17.571,178.021,1406.44,0.0,350.69
2024-03-01,99.549,43.902,426.881,0.0,33.053,61.959,440.555,10.3,394.737,115.991,0.0,16.583,90.0,1550.329,0.0,245.0
2024-04-01,57.208,109.81,484.477,203.894,88.297,177.223,363.399,4.091,231.048,135.219,47.808,6.435,38.261,1324.029,0.0,80.0
2024-05-01,174.332,92.521,419.306,86.108,82.675,129.235,344.484,0.0,163.0,114.517,87.229,17.426,302.092,1465.546,0.0,160.0
2024-06-01,29.831,74.071,406.318,4.46,37.38,186.818,266.551,1.46,335.0,103.156,227.871,28.88,59.955,1521.113,0.0,177.6
2024-07-01,30.708,117.538,182.06,87.904,46.866,112.325,353.364,5.953,181.02,112.797,279.695,36.26,332.865,1651.321,0.0,220.51
2024-08-01,85.5,0.0,159.934,71.49,114.298,115.351,201.881,18.345,207.0,149.648,265.909,27.011,269.72,1899.754,0.0,326.312
2024-09-01,60.308,0.0,548.282,69.155,110.836,41.19,236.143,28.055,191.8,128.012,180.717,33.886,249.714,1699.551,0.0,380.321
2024-10-01,65.357,0.0,507.799,84.45,80.362,70.541,310.358,39.227,201.969,86.97,220.587,34.552,219.708,1652.285,10.361,268.55
2024-11-01,54.466,0.0,405.349,70.551,40.793,41.956,245.99,30.415,250.999,45.0,248.43,5.054,209.853,1620.695,40.81,241.095
2024-12-01,115.878,243.484,322.763,90.892,50.883,42.827,314.574,34.759,382.5,80.902,529.996,5.06,202.206,1733.195,91.111,215.0
2025-01-01,4.0,0.0,496.993,120.135,108.298,71.904,320.722,24.961,207.0,90.0,429.879,18.019,229.642,1694.038,14.3,248.5
2025-02-01,133.361,3.2,358.892,84.741,61.173,53.936,281.297,20.735,218.452,122.0,240.813,22.932,178.237,1068.625,0.0,265.0
2025-03-01,28.666,0.0,541.204,65.981,44.501,40.094,242.07,9.495,117.5,74.984,356.021,26.879,119.484,1766.259,0.0,218.822
2025-04-01,88.774,0.0,512.876,52.871,30.128,77.908,285.28,8.096,104.0,100.0,376.449,33.527,222.785,1810.937,0.0,329.701
2025-05-01,152.025,0.0,411.721,60.0,71.283,76.046,387.036,35.001,218.044,94.409,97.902,10.121,194.769,1647.155,0.0,327.777
2025-06-01,87.394,0.472,773.542,60.495,83.008,131.8,417.652,16.935,132.1,132.0,108.237,33.799,239.824,1502.479,59.979,334.15
2025-07-01,60.0,0.0,138.0,26.249,101.182,117.193,324.508,12.551,188.0,0.0,69.005,23.649,328.761,1473.586,30.0,288.84
2025-08-01,111.302,0.24,248.219,43.998,19.825,186.346,375.251,160.263,266.1,119.0,64.037,26.997,269.781,1873.971,0.0,475.0
2025-09-01,29.03,0.0,66.521,65.923,5.45,250.226,281.071,65.64,115.0,0.0,91.02,0.0,419.877,1323.976,0.0,240.0
